clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source,max_height_reliable_bool,grubbs_top_reliable_bool,height_likely_top_m,likely_top_method,likely_top_reliability,has_likely_top_height,likely_top_minus_height_diag_m
178,0,5,15,1,220,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
179,0,17,51,1,221,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
180,0,17,51,1,222,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
181,0,8,24,2,223;224,19.15264892578125,likely_top_hypothesis_guided,max_reject_use_top_down_grubbs,3.9080514907836914,1.4411076784133912,2.775244355201721,3.992246150970459,11.539678573608398,13.554705905914306,14.746804046630862,18.938676071166988,28.309795379638672,19.15264892578125,1.0,21.0,0.1104917806617598,True,False,True,0.0074330121489567,2.991936206817627,2.602783742942279,3.9552289247512817,7.992246150970459,15.539678573608398,17.554705905914307,18.746804046630864,22.938676071166988,4.0,22.0,1.0,1.0,1.0,0.8456321358680725,0.344163179397583,0.9891659021377563,13.0,473.4456176757813,181,100,,True,,False,False,False,True,False,True,insar_roof_only_strict,False,True,19.15264892578125,max_reject_use_top_down_grubbs,medium,True,
182,0,5,15,1,225,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
183,0,8,24,2,226;227,17.39081382751465,likely_top_hypothesis_guided,max_accept_grubbs,4.048130989074707,-4.0469934940338135,-0.8531368374824524,4.048130750656128,10.929653882980348,13.024614334106444,14.299551010131836,15.266294956207275,17.39081382751465,17.39081382751465,0.0,46.0,1.0,True,True,False,1.0,1.8395589590072632,2.924080860089991,3.538669466972351,8.048130750656128,14.929653882980348,17.024614334106445,18.29955101013184,19.266294956207275,4.0,46.0,1.0,1.0,1.0,0.8453547954559326,0.3404081463813782,0.8262355327606201,14.0,544.6810913085938,183,102,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,17.39081382751465,max_accept_grubbs,high,True,
184,0,7,21,1,228,39.488677978515625,likely_top_hypothesis_guided,max_accept_grubbs,14.71850299835205,-6.158596038818359,-1.573744714260101,14.71850299835205,21.726642608642575,24.562394905090333,26.810487747192383,29.88233051300049,39.488677978515625,39.488677978515625,0.0,82.0,1.0,True,True,False,1.0,2.069373607635498,3.140684258757389,-0.4660905748605728,18.71850299835205,25.726642608642575,28.562394905090333,30.810487747192383,33.88233051300049,19.0,82.0,1.0,1.0,1.0,0.8364003896713257,0.3512259721755981,0.8701952695846558,14.5,424.91448974609375,184,103,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,39.488677978515625,max_accept_grubbs,high,True,
185,0,5,15,1,229,24.463836669921875,likely_top_hypothesis_guided,max_accept_grubbs,13.977925300598145,-10.481886434555054,-4.410920262336731,13.977925300598145,16.540225982666016,18.075867557525637,18.91270427703857,19.87350044250488,24.463836669921875,24.463836669921875,0.0,80.0,1.0,True,True,False,1.0,1.5154560804367063,3.1319390484640484,-1.0220756232738497,17.977925300598145,20.540225982666016,22.075867557525637,22.91270427703857,23.87350044250488,19.0,80.0,1.0,1.0,1.0,0.8477663397789001,0.3575760424137115,0.8657859563827515,16.0,446.2493896484375,185,104,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,24.463836669921875,max_accept_grubbs,high,True,
186,0,9,27,2,230;649,57.88224792480469,likely_top_hypothesis_guided,max_accept_grubbs,16.015792846679688,-3.72152042388916,2.747141599655152,16.015792846679688,34.4209041595459,39.10580253601074,41.62231140136719,43.82154579162598,57.88224792480469,57.88224792480469,0.0,95.0,1.0,True,True,False,1.0,2.2336275577545166,3.191968488351816,3.28913688659668,20.015792846679688,38.4209041595459,43.10580253601074,45.62231140136719,47.82154579162598,14.630420684814451,95.0,1.0,1.0,1.0,0.8493132591247559,0.3394165337085724,0.7744540572166443,16.0,390.2268981933594,186,105,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,57.88224792480469,max_accept_grubbs,high,True,
187,0,8,24,2,231;232,28.19314956665039,likely_top_hypothesis_guided,max_accept_grubbs,0.4166297912597656,-2.724200129508972,-0.2203527092933654,1.2540595531463623,7.1696648597717285,15.544209003448486,18.02225685119629,23.14245080947876,28.19314956665039,28.19314956665039,0.0,26.0,0.0682088898494868,True,True,False,0.0682088510314968,2.603734254837036,2.6808994518100517,0.0476793050765991,5.254059553146362,11.169664859771729,19.544209003448486,22.02225685119629,27.14245080947876,4.938362121582031,26.0,1.0,1.0,1.0,0.842515766620636,0.3608985245227813,1.082090139389038,15.5,504.6864929199219,187,106,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,28.19314956665039,max_accept_grubbs,high,True,
188,0,6,18,2,233;664,22.432397842407227,likely_top_hypothesis_guided,max_accept_grubbs,18.906709671020508,-8.714178037643432,4.764110445976257,18.906709671020508,19.698169231414795,19.958474540710448,21.375297355651853,22.210433769226075,22.432397842407227,22.432397842407227,0.0,24.0,1.0,True,True,False,1.0,0.8867180347442627,2.643909924455784,0.9655261039733888,22.906709671020508,23.698169231414795,23.958474540710448,25.375297355651853,26.210433769226075,22.0,24.0,1.0,1.0,1.0,0.8250875473022461,0.3543151915073395,0.6917428970336914,17.0,504.6864929199219,188,107,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,22.432397842407227,max_accept_grubbs,high,True,
