clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
601,21.1304235458374,0.4011341631412506,2.1453280448913574,7,40,6,6,6.0,0.7824531868100166,20.729533672332764,0.6358176171779633,0.959270477294922,-0.4008898735046351,0.4008898735046351,20.929978609085083,0.5184758901596069,1.5522992610931396,GAMMA_equal_network48_36_consensus,0,0,20.929978609085083,0,,,paper_IQR_median,0.0
604,16.419979572296143,0.1877897828817367,0.7960293292999268,57,35,6,6,5.0,0.7689904610936841,18.2440881729126,0.1832541045732796,0.5582411289215088,1.8241086006164584,1.8241086006164584,17.33203387260437,0.1855219437275081,0.6771352291107178,GAMMA_equal_network48_36_consensus,0,0,17.33203387260437,0,,,paper_IQR_median,0.0
605,23.583713591098785,0.1547852121293544,0.5767278671264648,4,40,4,4,4.0,0.7661249244119972,24.646648675203323,0.0525501407682895,1.1321954727172852,1.062935084104538,1.062935084104538,24.11518113315105,0.1036676764488219,0.854461669921875,GAMMA_equal_network48_36_consensus,0,0,24.11518113315105,0,,,paper_IQR_median,0.0
609,20.13785982131958,0.2486515194177627,4.750478744506836,77,40,57,57,57.0,0.7893450570603212,19.64276599884033,0.2149536907672882,5.796289443969727,-0.4950938224792516,0.4950938224792516,19.89031291007996,0.2318026050925254,5.273384094238281,GAMMA_equal_network48_36_consensus,0,0,19.89031291007996,0,,,paper_IQR_median,0.0
624,13.660131454467772,0.2214617803692817,3.953216314315796,10,40,10,10,10.0,0.7785632234687606,13.888777494430542,0.1674980595707893,4.0505211353302,0.2286460399627703,0.2286460399627703,13.774454474449158,0.1944799199700355,4.001868724822998,GAMMA_equal_network48_36_consensus,0,0,13.774454474449158,0,,,paper_IQR_median,0.0
627,18.63226681947708,0.2952979207038879,2.076385498046875,27,40,24,24,23.0,0.7783467763413986,18.146400928497314,0.3358496874570846,3.162982940673828,-0.4858658909797668,0.4858658909797668,18.3893338739872,0.3155738040804862,2.619684219360352,GAMMA_equal_network48_36_consensus,0,0,18.3893338739872,0,,,paper_IQR_median,0.0
630,18.9013067483902,0.1975699514150619,1.5791263580322266,5,40,5,5,5.0,0.7810941034307083,17.38362294435501,0.2407903671264648,2.678728103637696,-1.5176838040351903,1.5176838040351903,18.142464846372604,0.2191801592707633,2.128927230834961,GAMMA_equal_network48_36_consensus,0,0,18.142464846372604,0,,,paper_IQR_median,0.0
635,17.583280563354492,0.0973054431378841,1.978163480758667,20,40,20,20,20.0,0.7785852337256074,18.12459552288056,0.1147745549678802,2.1860568523406982,0.5413149595260656,0.5413149595260656,17.853938043117523,0.1060399990528821,2.0821101665496826,GAMMA_equal_network48_36_consensus,0,0,17.853938043117523,0,,,paper_IQR_median,0.0
636,16.737210750579834,0.1631858646869659,1.7912440299987793,16,40,14,14,11.0,0.7759561215837797,16.952932953834534,0.1516553089022636,2.652709007263184,0.2157222032546997,0.2157222032546997,16.845071852207184,0.1574205867946147,2.221976518630981,GAMMA_equal_network48_36_consensus,0,0,16.845071852207184,0,,,paper_IQR_median,0.0
658,21.72539329528809,0.2181488424539566,2.5613555908203125,1421,40,1378,1378,1357.0,0.8809601813554764,20.87979459762573,0.1914213821291923,3.7033867835998535,-0.8455986976623606,0.8455986976623606,21.30259394645691,0.2047851122915744,3.132371187210083,GAMMA_equal_network48_36_consensus,0,0,21.30259394645691,0,,,paper_IQR_median,0.0
660,20.96351331472397,0.1426482945680618,5.915388107299805,6,40,6,6,6.0,0.7609410562242072,17.710772335529327,0.276128888130188,4.913313388824463,-3.252740979194641,3.252740979194641,19.337142825126648,0.2093885913491249,5.414350748062134,GAMMA_equal_network48_36_consensus,0,0,19.337142825126648,0,,,paper_IQR_median,0.0
661,51.360451221466064,0.6022728681564331,0.6876564025878906,32,40,5,5,4.0,0.7860048146297534,51.862303376197815,0.7177887558937073,0.769500732421875,0.5018521547317505,0.5018521547317505,51.61137729883194,0.6600308120250702,0.7285785675048828,GAMMA_equal_network48_36_consensus,0,0,51.61137729883194,0,,,paper_IQR_median,0.0
662,18.176580395549536,0.2443467378616333,2.8767342567443848,16,40,16,16,16.0,0.7955577219836414,16.925518214702606,0.3262633979320526,2.574540615081787,-1.2510621808469296,1.2510621808469296,17.55104930512607,0.2853050678968429,2.725637435913086,GAMMA_equal_network48_36_consensus,0,0,17.55104930512607,0,,,paper_IQR_median,0.0
664,30.670652866363525,0.3163050413131714,2.6487722396850586,100,40,99,99,92.0,0.9216570903857548,30.22274160385132,0.4613916575908661,2.5358476638793945,-0.447911262512207,0.447911262512207,30.446697235107425,0.3888483494520187,2.5923099517822266,GAMMA_equal_network48_36_consensus,0,0,30.446697235107425,0,,,paper_IQR_median,0.0
673,26.47726166248321,0.2155557423830032,3.058189392089844,42,40,17,17,17.0,0.8077510378013054,26.726088404655457,0.202953428030014,3.228321075439453,0.2488267421722447,0.2488267421722447,26.601675033569336,0.2092545852065086,3.1432552337646484,GAMMA_equal_network48_36_consensus,0,0,26.601675033569336,0,,,paper_IQR_median,0.0
675,16.253989547491074,0.1996501013636589,3.417839765548706,34,40,32,32,32.0,0.7804336872262259,14.624635830521584,0.231416068971157,3.6512978076934814,-1.62935371696949,1.62935371696949,15.439312689006329,0.2155330851674079,3.5345687866210938,GAMMA_equal_network48_36_consensus,0,0,15.439312689006329,0,,,paper_IQR_median,0.0
676,14.663518518209456,0.2193510234355926,1.5176591873168943,16,40,15,15,15.0,0.8473072896401087,14.237341821193697,0.2874745875597,1.003988265991211,-0.4261766970157588,0.4261766970157588,14.450430169701576,0.2534128054976463,1.2608237266540527,GAMMA_equal_network48_36_consensus,0,0,14.450430169701576,0,,,paper_IQR_median,0.0
