building_uid,selected_pixel_count,iqr_retained_pixel_count,paper_text_median_m,original_code_range_m,robust_q95_q05_height_m,relative_height_q05_m,relative_height_q95_m,median_phase_residual_rms_rad,median_height_sigma_m,paper_text_median_45_m,robust_height_45_m,robust_height_network_difference_m,ground_ellipsoid_height_m,recommended_building_height_m,roof_ellipsoid_height_m,quality_pass,height_definition
63247,11,11,11.162798881530762,32.72262281924486,31.709204886108637,0.7697913907468319,32.47899627685547,0.2223726361989975,0.8377143740653992,11.072955131530762,31.572637639939785,0.13656724616885185,-2.7583351135253906,31.709204886108637,28.950869772583246,True,SBAS像元相对高差的P95-P05；非先验填充
63248,17,15,0.9349890947341919,5.439951539039612,2.6580380082130417,-0.43895064592361444,2.2190873622894274,0.45835790038108826,1.3367267847061157,1.014668583869934,2.5833663344383226,0.07467167377471906,-3.440166711807251,2.6580380082130417,-0.7821287035942093,True,SBAS像元相对高差的P95-P05；非先验填充
63249,10,9,-1.788230538368225,3.532023072242737,2.6055845379829403,-3.78030743598938,-1.1747228980064395,2.4678014516830444,1.2497190833091736,-1.895485281944275,2.3775246679782867,0.22805987000465366,-3.3418593406677246,2.6055845379829403,-0.7362748026847843,True,SBAS像元相对高差的P95-P05；非先验填充
63250,11,10,-3.4467755556106567,5.783043801784515,3.9303697049617767,-4.813932657241821,-0.8835629522800446,1.9299293756484985,6.577367305755615,-3.3563802242279053,3.9470628798007965,-0.016693174839019775,-3.466714382171631,3.9303697049617767,0.4636553227901459,True,SBAS像元相对高差的P95-P05；非先验填充
63251,11,10,31.610105514526367,6.114299774169922,5.240103721618652,30.29394245147705,35.5340461730957,3.4634511470794678,11.496733665466309,30.34178352355957,5.573090553283691,-0.33298683166503906,-3.191692590713501,5.240103721618652,2.0484111309051514,False,SBAS像元相对高差的P95-P05；非先验填充
63299,11,11,-12.589152336120605,73.14216995239258,69.92492341995239,-15.651514530181885,54.27340888977051,4.055531978607178,3.7983319759368896,-13.549042701721191,69.359055519104,0.5658679008483887,-5.406085014343262,69.92492341995239,64.51883840560913,True,SBAS像元相对高差的P95-P05；非先验填充
63300,25,21,-5.514039039611816,64.96997928619385,59.098586082458475,-11.744156455993652,47.35442962646482,2.370462656021118,9.34201717376709,-5.043423175811768,55.37041549682616,3.728170585632313,-2.7850022315979004,59.098586082458475,56.313583850860574,True,SBAS像元相对高差的P95-P05；非先验填充
63348,49,45,6.768299102783203,42.54172229766846,28.061980795860283,-0.16527593135833737,27.896704864501945,0.3963300883769989,1.3123725652694702,6.687380790710449,29.903327387571327,-1.8413465917110443,-1.9680980443954468,28.061980795860283,26.093882751464836,True,SBAS像元相对高差的P95-P05；非先验填充
63385,166,161,41.88965606689453,94.55052185058594,56.52495765686035,24.39478874206543,80.91974639892578,3.8922983407974243,3.6074893474578857,57.780792236328125,53.94466781616211,2.580289840698242,-12.32797908782959,56.52495765686035,44.19697856903076,True,SBAS像元相对高差的P95-P05；非先验填充
63386,9,9,4.071535110473633,23.23535841703415,22.36701501607895,0.7199486374855042,23.086963653564453,3.92405104637146,5.787051677703857,8.951489448547363,20.59266600608826,1.77434900999069,-5.282473087310791,22.36701501607895,17.084541928768157,True,SBAS像元相对高差的P95-P05；非先验填充
65171,15,13,8.343573570251465,13.795944213867188,12.671774959564209,3.600220775604248,16.271995735168456,3.5308446884155273,10.643089294433594,7.482955455780029,10.437720918655392,2.2340540409088163,-1.6494282484054565,12.671774959564209,11.022346711158752,False,SBAS像元相对高差的P95-P05；非先验填充
65193,104,104,60.367774963378906,60.630088806152344,53.61110000610351,39.6096248626709,93.22072486877441,3.381470203399658,11.934206485748291,60.59206962585449,53.20045719146729,0.4106428146362262,-1.860460877418518,53.61110000610351,51.750639128684995,False,SBAS像元相对高差的P95-P05；非先验填充
65194,44,43,39.84556198120117,35.18049240112305,17.826399040222164,35.273240661621095,53.09963970184326,4.160058259963989,12.79347038269043,40.22877883911133,17.876893806457517,-0.050494766235352984,-1.0717875957489014,17.826399040222164,16.754611444473262,False,SBAS像元相对高差的P95-P05；非先验填充
65282,123,123,39.908172607421875,87.017569065094,73.3171963453293,0.13025925159454416,73.44745559692383,0.39839494228363037,1.3104350566864014,39.78590393066406,72.5797186255455,0.7374777197837972,-3.8342013359069824,73.3171963453293,69.48299500942231,True,SBAS像元相对高差的P95-P05；非先验填充
65283,103,103,26.551681518554688,69.24157792329788,57.95584480762481,3.2296398878097543,61.18548469543456,0.35100483894348145,1.203743577003479,26.364852905273438,57.337623119354234,0.6182216882705731,-4.838923454284668,57.95584480762481,53.11692135334014,True,SBAS像元相对高差的P95-P05；非先验填充
65284,56,56,13.619658470153809,46.68231165409088,41.94730484485626,-0.1296921968460083,41.817612648010254,0.27952246367931366,0.9315532743930817,13.617695808410645,41.62190642952919,0.32539841532707214,-3.293738603591919,41.94730484485626,38.65356624126434,True,SBAS像元相对高差的P95-P05；非先验填充
65285,95,95,26.20235824584961,60.174306869506836,50.73534405231475,-0.08700459003448424,50.64833946228027,0.301456093788147,1.003054141998291,26.24834442138672,50.32518087625503,0.41016317605971864,-3.9249281883239746,50.73534405231475,46.81041586399078,True,SBAS像元相对高差的P95-P05；非先验填充
65286,76,75,1.7450002431869507,25.421109199523926,13.611175179481506,-5.104386925697327,8.50678825378418,4.386263847351074,15.501557350158691,-1.0713319778442383,13.193704724311829,0.41747045516967773,-3.3893699645996094,13.611175179481506,10.221805214881897,False,SBAS像元相对高差的P95-P05；非先验填充
65288,12,10,53.72271537780762,43.88279342651367,42.35488352775573,14.728347826004029,57.083231353759764,4.6974475383758545,16.665717124938965,57.666250228881836,46.21580095291138,-3.860917425155648,-3.643275260925293,42.35488352775573,38.71160826683044,False,SBAS像元相对高差的P95-P05；非先验填充
65289,27,27,24.4265193939209,10.98373031616211,9.090847587585447,19.280702209472658,28.371549797058105,3.648247241973877,11.297860145568848,27.144089698791504,9.870418739318847,-0.7795711517333999,-4.5348358154296875,9.090847587585447,4.55601177215576,False,SBAS像元相对高差的P95-P05；非先验填充
