building_uid,Floor,recommended_building_height_m,paper_text_median_m,original_code_range_m,quality_pass,floor_nominal_3m_audit_only,recommended_minus_nominal_m
74956,32,37.77775895595549,16.804051399230957,52.1336886882782,True,96.0,-58.22224104404451
74957,32,19.345365524291992,82.69414520263672,21.694908142089844,False,96.0,-76.65463447570801
74958,32,7.941227307915687,4.385220050811768,22.131239414215088,False,96.0,-88.05877269208432
74959,32,87.60165629684924,27.850773811340332,93.29359149932861,True,96.0,-8.398343703150758
74960,32,46.052310943603516,7.2511396408081055,54.184048891067505,True,96.0,-49.947689056396484
74975,32,44.27448154985904,10.528598308563232,48.27510613203049,True,96.0,-51.72551845014096
74976,32,36.850242209434505,17.960307121276855,38.85865378379822,True,96.0,-59.149757790565495
74977,32,33.29906249046326,16.061851501464844,42.07182598114014,True,96.0,-62.70093750953674
74978,32,45.50782489776611,30.08211326599121,56.397732734680176,False,96.0,-50.49217510223389
74979,32,6.520213890075688,38.9453010559082,11.503704071044922,False,96.0,-89.4797861099243
75149,83,100.26468801498413,11.592382431030273,114.31229376792908,False,249.0,-148.73531198501587
75150,83,108.81377506256104,32.96150207519531,123.39393043518066,False,249.0,-140.18622493743896
75151,83,97.22673778533937,1.3436412811279297,109.62720966339111,False,249.0,-151.77326221466063
75152,83,97.42113821506499,11.45821237564087,107.8569450378418,False,249.0,-151.57886178493501
75153,88,90.49746685028074,32.46733093261719,107.62361145019531,False,264.0,-173.50253314971926
75157,41,45.28945369720459,14.578457832336426,60.40661811828613,False,123.0,-77.71054630279541
75173,41,94.20894660949706,23.364646911621094,107.49996566772461,False,123.0,-28.791053390502938
75174,41,72.8721517562866,27.528040885925293,92.29081439971924,False,123.0,-50.1278482437134
75331,89,83.60419588088989,45.596330642700195,107.01618766784668,True,267.0,-183.3958041191101
75339,39,73.55015244483948,47.91470718383789,84.47607517242432,False,117.0,-43.44984755516052
75340,39,56.12529420852661,18.836024284362793,60.16800880432129,False,117.0,-60.87470579147339
75378,39,10.497368049621585,45.86212348937988,12.90426254272461,False,117.0,-106.50263195037842
77471,32,45.17778358459471,36.0611572265625,53.18807792663574,False,96.0,-50.82221641540529
77472,32,6.476948511600495,5.584817171096802,8.29266345500946,True,96.0,-89.5230514883995
77640,40,4.1735734939575195,35.668128967285156,6.386135101318359,False,120.0,-115.82642650604248
77650,32,106.89950726032257,77.23708724975586,116.5758860707283,True,96.0,10.899507260322565
78268,36,34.1351957321167,39.477895736694336,54.92236006259918,False,108.0,-73.8648042678833
79578,31,32.87170743942261,-5.641618728637695,35.8132438659668,True,93.0,-60.12829256057739
79980,50,89.53632354736328,41.86838912963867,103.81166458129883,True,150.0,-60.46367645263672
80019,89,163.25104255676268,162.22216796875,263.8620641231537,False,267.0,-103.74895744323732
80252,38,18.95783250331878,-0.7503055334091187,55.50288772583008,True,114.0,-95.04216749668122
80596,39,26.528444290161133,-1.8999284505844116,37.41462993621826,True,117.0,-90.47155570983887
84813,35,135.70474064350128,46.62147521972656,151.82712292671204,True,105.0,30.70474064350128
85055,33,9.282084226608276,17.273064613342285,15.39360761642456,True,99.0,-89.71791577339172
85468,31,24.74548578262329,30.157700538635254,27.446765899658203,False,93.0,-68.25451421737671
85469,31,32.270220175385475,-28.92222309112549,33.15062344074249,True,93.0,-60.729779824614525
85477,34,20.690551614761354,13.917573928833008,22.764349460601807,True,102.0,-81.30944838523865
85492,36,12.42792644500732,13.033307075500488,17.786759853363037,False,108.0,-95.57207355499268
87050,31,49.88098106384277,8.867011547088623,62.85814666748047,True,93.0,-43.11901893615723
87051,31,47.45502624511718,26.17466926574707,58.54777908325195,False,93.0,-45.54497375488282
87529,34,23.18736515045165,36.20084762573242,28.515533447265625,False,102.0,-78.81263484954835
88679,34,0.8898957917466759,-0.5208345679566264,0.9887731019407511,False,102.0,-101.11010420825332
88691,33,9.113348159193993,4.299580931663513,9.256186425685883,True,99.0,-89.88665184080601
88693,35,11.693854141235349,53.86857795715332,15.576026916503906,False,105.0,-93.30614585876465
90501,34,0.47419052124023153,31.85472869873047,0.5268783569335938,False,102.0,-101.52580947875977
90522,34,19.01283581256866,26.206178665161133,43.17297683469951,False,102.0,-82.98716418743135
90894,37,32.55352051258087,33.681339263916016,41.47829270362854,True,111.0,-78.44647948741914
90896,47,33.38493475914001,14.269181251525879,40.13492012023926,True,141.0,-107.61506524085999
90904,51,31.067027997970577,1.7532709240913391,45.54653453826904,False,153.0,-121.93297200202943
90921,31,12.836076432466506,5.694674968719482,16.302330493927002,True,93.0,-80.16392356753349
90922,32,4.702552795410156,14.279123306274414,5.4216508865356445,True,96.0,-91.29744720458984
90947,32,7.688777227699756,-3.1754205226898193,8.572784662246704,True,96.0,-88.31122277230024
92926,48,66.1712870284915,23.212013244628906,111.8534803390503,False,144.0,-77.8287129715085
92933,51,34.67650322914123,14.531216144561768,49.99593099951744,False,153.0,-118.32349677085877
92970,49,16.49241647720337,17.83570098876953,24.399977684020996,True,147.0,-130.50758352279664
94855,50,123.73750143051146,75.91091918945312,152.5528712272644,True,150.0,-26.262498569488542
94911,35,5.251412963867185,22.5526065826416,6.158742904663086,False,105.0,-99.74858703613282
97340,50,104.1958122253418,40.2747917175293,120.53223609924316,True,150.0,-45.8041877746582
97660,35,86.17497630119324,17.91387701034546,106.42597579956055,False,105.0,-18.82502369880676
99751,32,15.474421143531796,8.717879295349121,18.090599536895752,False,96.0,-80.5255788564682
102049,32,27.20155109167099,11.55582332611084,33.86047953367233,False,96.0,-68.79844890832901
106421,37,3.9110992431640614,-12.937400817871094,4.315395355224609,False,111.0,-107.08890075683594
106449,37,30.245555877685547,5.215367317199707,34.303568840026855,True,111.0,-80.75444412231445
